time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
2.109375,0.5717290347007085,0.5718072118460105,0.571995768775788
2.1484375,0.5299174686621329,0.5299911925798141,0.5301764551478426
2.1874999999999996,0.49108419641001266,0.4911553365113159,0.4913356478083942
2.2265625,0.4550284627766871,0.4550960938602238,0.45527234138099054
2.265625,0.42156139410142734,0.4216258658361462,0.42179784061669173
2.3046874999999996,0.390505542277283,0.39056671953230215,0.39073481771961965
2.34375,0.3616944052568684,0.3617511798764805,0.3619161257746235
2.3828125,0.33497193306789447,0.335024883991087,0.3351870426574729
2.4218749999999996,0.3101920268688842,0.310240327740974,0.3103993705187376
2.4609375,0.2872180372496852,0.28726173570269503,0.28741869124895725
2.5,0.2659222668316062,0.2659619502762509,0.26611695006898206
2.5390624999999996,0.2461854812303961,0.2462214806172477,0.24637331564949935
2.578125,0.22789643159478,0.22792807166870616,0.22807652006909415
2.6171875,0.2109513912078383,0.21097963393838148,0.21112297330332425
2.6562499999999996,0.19525370802337239,0.19527889698739978,0.19541612823573604
2.6953125,0.18071337449099015,0.1807350671773896,0.18086631210043058
2.734375,0.16724661558960535,0.16726542976242287,0.16738998660948118
2.7734374999999996,0.15477549562831588,0.15479150465499594,0.15491075836798343
2.8125,0.14322754407627605,0.14324154383737342,0.14335504770228627
2.8515625,0.1325354004403615,0.13254724051364497,0.13265508815663446
2.8906249999999996,0.122636478013346,0.12264567049580406,0.12274910685087403
2.9296875,0.11347264615910431,0.11347987131622123,0.11357837045547922
2.96875,0.10498993067897981,0.10499557261435731,0.10508915772531258
3.0078124999999996,0.09713823170967976,0.09714220306993944,0.09723124050853499
3.046875,0.08987105853331259,0.08987399201761062,0.08995822884026293
3.0859375,0.0831452806305111,0.08314707475618739,0.08322674160695358
3.1249999999999996,0.0769208942745844,0.07692089978036705,0.07699727830207638
3.1640625,0.07116080394539744,0.07115909134949006,0.07123180828820418
3.203125,0.06583061783366854,0.06582761840389748,0.0658972152780554
3.2421874999999996,0.06089845670747534,0.06089441838725039,0.06096086691746866
3.28125,0.056334775421161616,0.05632960577984869,0.05639271737397271
3.3203125,0.05211219636099007,0.05210629030455885,0.05216550555691107
3.3593749999999996,0.048205354140507646,0.04819932514215922,0.048254100553673136
3.3984375,0.04459075088059672,0.04458516292017488,0.04463493453840018
3.4375,0.041246621433663186,0.0412413460104953,0.04128624195832262
3.4765624999999996,0.0381528079376167,0.03814783753449963,0.03818791026336254
3.515625,0.03529064311261035,0.03528591577755823,0.03532194176312396
3.5546875,0.032642841741413346,0.03263837463926288,0.03267087946735498
3.5937499999999996,0.030193399802382732,0.030189641334971137,0.030218202623422938
3.6328125,0.027927500751949566,0.027924567074912966,0.02794958496282371
3.6718749999999996,0.025831428481071617,0.02582958169723261,0.025850969637101328
3.7109375,0.023892486497028433,0.023891346112636526,0.0239097944886815
3.75,0.02209892290808642,0.02209857898260389,0.022114162755576185
3.7890625,0.02043986081382006,0.020440143230710722,0.02045332366063276
3.8281249999999996,0.01890523372816261,0.018905818013419017,0.01891701259737839
3.8671874999999996,0.017485725685511305,0.017486573295257664,0.01749601918121046
3.9062499999999996,0.01617271570239939,0.01617353778629715,0.016181781805374613
3.9453125,0.014958226288350552,0.014958985074006621,0.014965876605638183
3.984375,0.013834875719549824,0.013835646452904768,0.013841427565086353
4.0234375,0.012795833807909916,0.012796586867811856,0.012801594839705947
4.0625,0.011834780916001519,0.011835336980275049,0.011839924000800311
4.1015625,0.010945869985177504,0.010946377824254375,0.01095044147331968
4.140624999999999,0.010123691360086647,0.010124140373808871,0.010127784187378284
4.1796875,0.009363240207678012,0.009363497224531753,0.009366985801054353
4.21875,0.008659886342782334,0.008660025935821403,0.008663548702974784
4.2578125,0.008009346285460154,0.0080093467932397,0.00801284525493011
4.296875,0.007407657387573707,0.007407662171764547,0.007410857393328359
4.3359375,0.006851153877507761,0.0068510224805009325,0.006854187530643489
4.374999999999999,0.00633644468268011,0.006336033148547168,0.006339242611706396
4.4140625,0.005860392899483419,0.005859792112598061,0.005862981920398641
4.453125,0.005420096789629262,0.005419374343552181,0.005422490103300729
4.4921875,0.00501287219055924,0.005011995669819913,0.005015040003797545
